"university_name","country","base_url","university_eligibility_url","university_scholarship_url","university_fee_url","brochure_link","university_logo","course_name","degree_level","campus","course_category","course_url","course_eligibility_url","course_scholarship_url","course_fee_url","additional_information_link","notes"
"Swinburne University of Technology","Australia","","","","","","","Diploma of Arts and Communication Unilink DP Artcom","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-arts-and-communication-unilink-dp-artcom/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-arts-and-communication-unilink-dp-artcom/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Business Unilink DP Bus1","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-business-unilink-dp-bus1/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-business-unilink-dp-bus1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Design Unilink DP Des1","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-design-unilink-dp-des1/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-design-unilink-dp-des1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Engineering Unilink DP Eng1","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-engineering-unilink-dp-eng1/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-engineering-unilink-dp-eng1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Health Science Unilink DP Hsc1","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-health-science-unilink-dp-hsc1/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-health-science-unilink-dp-hsc1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Information Technology Unilink DP Ict1","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-information-technology-unilink-dp-ict1/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-information-technology-unilink-dp-ict1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Diploma of Science Unilink DP SCI","","","","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-science-unilink-dp-sci/","https://www.swinburne.edu.au/course/degree-pathway/diploma-of-science-unilink-dp-sci/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Further Maths General","","","","https://www.swinburne.edu.au/course/degree-pathway/further-maths-general/","https://www.swinburne.edu.au/course/degree-pathway/further-maths-general/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Maths Methods Bridging Program","","","","https://www.swinburne.edu.au/course/degree-pathway/maths-methods-bridging-program/","https://www.swinburne.edu.au/course/degree-pathway/maths-methods-bridging-program/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Postgraduate Qualifying Program","Master","","","https://www.swinburne.edu.au/course/degree-pathway/postgraduate-qualifying-program/","https://www.swinburne.edu.au/course/degree-pathway/postgraduate-qualifying-program/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Swinburne Foundation Program","","","","https://www.swinburne.edu.au/course/degree-pathway/swinburne-foundation-program/","https://www.swinburne.edu.au/course/degree-pathway/swinburne-foundation-program/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Undergraduate Certificate in LAW Pathway Online","Bachelor","","","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-in-law-pathway-online/","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-in-law-pathway-online/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Undergraduate Certificate in LAW Pathway","Bachelor","","","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-in-law-pathway/","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-in-law-pathway/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Undergraduate Certificate of Business","Bachelor","","","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-of-business/","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-of-business/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Undergraduate Certificate of Criminal Justice and Criminology","Bachelor","","","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-of-criminal-justice-and-criminology/","https://www.swinburne.edu.au/course/degree-pathway/undergraduate-certificate-of-criminal-justice-and-criminology/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Unilink Bridging Program TE Ubp1","","","","https://www.swinburne.edu.au/course/degree-pathway/unilink-bridging-program-te-ubp1/","https://www.swinburne.edu.au/course/degree-pathway/unilink-bridging-program-te-ubp1/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Uniready Program","","","","https://www.swinburne.edu.au/course/degree-pathway/uniready-program/","https://www.swinburne.edu.au/course/degree-pathway/uniready-program/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Applied Business","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-applied-business/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-applied-business/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Client Assessment and Case Management","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-client-assessment-and-case-management/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-client-assessment-and-case-management/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Construction Management","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-construction-management/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-construction-management/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Forensic Behavioural Science","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-forensic-behavioural-science/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-forensic-behavioural-science/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Forensic Mental Health Nursing","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-forensic-mental-health-nursing/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-forensic-mental-health-nursing/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Learning and Teaching Higher Education","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-learning-and-teaching-higher-education/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-learning-and-teaching-higher-education/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Learning and Teaching VET","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-learning-and-teaching-vet/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-learning-and-teaching-vet/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate in Organisational Coaching","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-organisational-coaching/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-in-organisational-coaching/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Aviation Piloting","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-aviation-piloting/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-aviation-piloting/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Aviation","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-aviation/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-aviation/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Business Administration Swinburne Online","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-administration-swinburne-online/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-administration-swinburne-online/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Business Administration","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-administration/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-administration/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Business Information Systems","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-information-systems/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-business-information-systems/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Counselling","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-counselling/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-counselling/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Cyber Security","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-cyber-security/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-cyber-security/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Cybersecurity Management Swinburne Online","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-cybersecurity-management-swinburne-online/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-cybersecurity-management-swinburne-online/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Data Science","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-data-science/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-data-science/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Design","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-design/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-design/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Educational Studies NON Teaching Swinburne Online","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-educational-studies-non-teaching-swinburne-online/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-educational-studies-non-teaching-swinburne-online/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Engineering","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Engineering","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/advanced-manufacturing/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/advanced-manufacturing/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Engineering","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/civil-engineering/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/civil-engineering/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Engineering","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/electrical-engineering/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/electrical-engineering/","","","","Course name from page title / cleaned URL."
"Swinburne University of Technology","Australia","","","","","","","Graduate Certificate of Engineering","Master","","","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/electronics-and-telecommunications-engineering/","https://www.swinburne.edu.au/course/postgraduate/graduate-certificate-of-engineering/electronics-and-telecommunications-engineering/","","","","Course name from page title / cleaned URL."
